ID	TISSUE	ANATOMY	TYPE	AGE
E001	ES-I3_Cell_Line	ESC	PrimaryCulture	CL
E002	ES-WA7_Cell_Line	ESC	PrimaryCulture	CL
E003	H1_Cell_Line	ESC	PrimaryCulture	CL
E004	H1_BMP4_Derived_Mesendoderm_Cultured_Cells	ESC_DERIVED	ESCDerived	CL
E005	H1_BMP4_Derived_Trophoblast_Cultured_Cells	ESC_DERIVED	ESCDerived	CL
E006	H1_Derived_Mesenchymal_Stem_Cells	ESC_DERIVED	ESCDerived	CL
E007	H1_Derived_Neuronal_Progenitor_Cultured_Cells	ESC_DERIVED	ESCDerived	CL
E008	H9_Cell_Line	ESC	PrimaryCulture	CL
E009	H9_Derived_Neuronal_Progenitor_Cultured_Cells	ESC_DERIVED	ESCDerived	CL
E010	H9_Derived_Neuron_Cultured_Cells	ESC_DERIVED	ESCDerived	CL
E011	hESC_Derived_CD184+_Endoderm_Cultured_Cells	ESC_DERIVED	ESCDerived	CL
E012	hESC_Derived_CD56+_Ectoderm_Cultured_Cells	ESC_DERIVED	ESCDerived	CL
E013	hESC_Derived_CD56+_Mesoderm_Cultured_Cells	ESC_DERIVED	ESCDerived	CL
E014	HUES48_Cell_Line	ESC	PrimaryCulture	CL
E015	HUES6_Cell_Line	ESC	PrimaryCulture	CL
E016	HUES64_Cell_Line	ESC	PrimaryCulture	CL
E017	IMR90_Cell_Line	LUNG	CellLine	CL
E018	iPS-15b_Cell_Line	IPSC	PrimaryCulture	CL
E019	iPS-18_Cell_Line	IPSC	PrimaryCulture	CL
E020	iPS-20b_Cell_Line	IPSC	PrimaryCulture	CL
E021	iPS_DF_6.9_Cell_Line	IPSC	PrimaryCulture	CL
E022	iPS_DF_19.11_Cell_Line	IPSC	PrimaryCulture	CL
E023	Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells	FAT	PrimaryCulture	CL
E024	4star	ESC	PrimaryCulture	CL
E025	Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	FAT	PrimaryCulture	Adult
E026	Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	STROMAL_CONNECTIVE	PrimaryCulture	Adult
E027	Breast_Myoepithelial_Cells	BREAST	PrimaryCell	Adult
E028	Breast_vHMEC	BREAST	PrimaryCulture	Adult
E029	CD14_Primary_Cells	BLOOD	PrimaryCell	Adult
E030	CD15_Primary_Cells	BLOOD	PrimaryCell	Fetal
E031	CD19_Primary_Cells_Cord_BI	BLOOD	PrimaryCell	Fetal
E032	CD19_Primary_Cells_Peripheral_UW	BLOOD	PrimaryCell	Adult
E033	CD3_Primary_Cells_Cord_BI	BLOOD	PrimaryCell	Fetal
E034	CD3_Primary_Cells_Peripheral_UW	BLOOD	PrimaryCell	Adult
E035	CD34_Primary_Cells	BLOOD	PrimaryCell	Fetal
E036	CD34_Cultured_Cells	BLOOD	PrimaryCell	Fetal
E037	CD4_Memory_Primary_Cells	BLOOD	PrimaryCell	NA
E038	CD4_Naive_Primary_Cells	BLOOD	PrimaryCell	NA
E039	CD4+_CD25-_CD45RA+_Naive_Primary_Cells	BLOOD	PrimaryCell	NA
E040	CD4+_CD25-_CD45RO+_Memory_Primary_Cells	BLOOD	PrimaryCell	NA
E041	CD4+_CD25-_IL17-_PMA-Ionomycin_stimulated_MACS_purified_Th_Primary_Cells	BLOOD	PrimaryCell	NA
E042	CD4+_CD25-_IL17+_PMA-Ionomcyin_stimulated_Th17_Primary_Cells	BLOOD	PrimaryCell	NA
E043	CD4+_CD25-_Th_Primary_Cells	BLOOD	PrimaryCell	NA
E044	CD4+_CD25+_CD127-_Treg_Primary_Cells	BLOOD	PrimaryCell	NA
E045	CD4+_CD25int_CD127+_Tmem_Primary_Cells	BLOOD	PrimaryCell	NA
E046	CD56_Primary_Cells	BLOOD	PrimaryCell	Adult
E047	CD8_Naive_Primary_Cells	BLOOD	PrimaryCell	NA
E048	CD8_Memory_Primary_Cells	BLOOD	PrimaryCell	NA
E049	Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	STROMAL_CONNECTIVE	PrimaryCulture	NA
E050	Mobilized_CD34_Primary_Cells_Female	BLOOD	PrimaryCell	Fetal
E051	Mobilized_CD34_Primary_Cells_Male	BLOOD	PrimaryCell	Adult
E052	Muscle_Satellite_Cultured_Cells	MUSCLE	PrimaryCulture	NA
E053	Neurosphere_Cultured_Cells_Cortex_Derived	BRAIN	PrimaryCulture	Fetal
E054	Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived	BRAIN	PrimaryCulture	Fetal
E055	Penis_Foreskin_Fibroblast_Primary_Cells_skin01	SKIN	PrimaryCulture	Fetal
E056	Penis_Foreskin_Fibroblast_Primary_Cells_skin02	SKIN	PrimaryCulture	Fetal
E057	Penis_Foreskin_Keratinocyte_Primary_Cells_skin02	SKIN	PrimaryCulture	Fetal
E058	Penis_Foreskin_Keratinocyte_Primary_Cells_skin03	SKIN	PrimaryCulture	Fetal
